id,day_order_num,p0,p1,p2,json,timestamp,date
121,116,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T16:03:55.527Z""}",02:03:55,18.08.2023
122,117,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:05:39.375Z""}",02:05:39,18.08.2023
123,118,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:14:23.159Z""}",02:14:23,18.08.2023
124,119,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T16:16:05.115Z""}",02:16:05,18.08.2023
125,120,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:16:26.951Z""}",02:16:26,18.08.2023
126,121,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:17:37.986Z""}",02:17:37,18.08.2023
127,122,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T16:21:05.804Z""}",02:21:05,18.08.2023
128,123,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-17T16:23:14.900Z""}",02:23:14,18.08.2023
129,124,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-17T16:24:41.079Z""}",02:24:41,18.08.2023
130,125,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:47:34.583Z""}",02:47:34,18.08.2023
131,126,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:51:39.659Z""}",02:51:39,18.08.2023
132,127,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:57:07.639Z""}",02:57:07,18.08.2023
133,128,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T16:57:41.055Z""}",02:57:41,18.08.2023
134,129,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T17:05:09.384Z""}",03:05:09,18.08.2023
135,130,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T17:07:35.943Z""}",03:07:35,18.08.2023
136,131,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T17:15:46.075Z""}",03:15:46,18.08.2023
137,132,0,0,2,"{""0"":0,""1"":0,""2"":2,""timestamp"":""2023-08-17T17:46:26.787Z""}",03:46:26,18.08.2023
138,133,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T19:35:09.371Z""}",05:35:09,18.08.2023
139,1,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T09:56:07.988Z""}",11:56:07.995593,19.08.2023
140,2,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T09:57:38.770Z""}",11:57:38.782379,19.08.2023
